"","id","pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","cc","ccco","hydroxyl_alkl","aldehyde","ketone","carboxylic_acid","ester","ether_alicyclic","nitrate","nitro","aromatic_hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester","trans_NumOfConf","trans_MW","trans_pSat_Pa"
"11",11,0.078466678,232.980780676,19,6,9,1,2,118,30,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,4.18373917998426,15.2637079596014,-2.54508122838908
"12",12,5.93136914e-05,234.99643074,21,6,9,1,3,258,32,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,5.29036835344121,15.3295932998889,-9.73267039496763
"13",13,7.10911441e-06,250.99134536,22,6,10,1,3,465,37,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,6.31300140332146,15.8427063773839,-11.8541328774624
"14",14,29.238,176.990951436,15,4,7,1,1,21,17,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2.49267574854026,13.3037946254443,3.37546923308942
"15",15,0.782020144,219.00151612,20,6,8,1,1,63,39,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,3.46578936587948,14.7986998118078,-0.245874779177806
"16",16,0.000146573025,250.99134536,22,6,10,1,3,442,40,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,6.21765586179519,15.8427063773839,-8.82798678953532
"17",17,0.0897051218999999,307.976423568,25,7,12,2,1,86,40,0,0,1,0,3,0,0,0,1,1,0,0,1,0,0,0,3.80495509198996,17.5492570659843,-2.4112274112131
"18",18,0.0053399592,278.98625998,24,7,11,1,2,189,40,0,0,1,0,3,0,0,0,0,1,0,0,1,1,0,0,4.81879600091487,16.7028817866858,-5.23253726648866
"19",19,0.0792357703,216.985866056,18,6,8,1,1,7,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1.792789962521,14.7304401175253,-2.53532743692073
"20",20,53.213,216.985866056,18,6,8,1,0,7,7,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1.792789962521,14.7304401175253,3.97430272739859
"21",21,11.395,248.975695296,20,6,10,1,1,36,21,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,2.93015605158352,15.7789636952494,2.43317466269765
"22",22,2.821,220.980780676,18,5,9,1,1,25,21,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,2.62652780440377,14.8654223174453,1.03709143201986
"23",24,0.148114128,295.976423568,24,6,12,2,1,228,40,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,5.09777254624404,17.2039653443036,-1.90977216725482
"24",26,1.087,234.99643074,21,6,9,1,1,55,38,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,3.32742907270633,15.3295932998889,0.0834216081390724
"25",27,0.022793284,250.99134536,22,6,10,1,2,134,40,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,4.34641748877568,15.8427063773839,-3.78128934781698
"26",28,0.213246949,266.98625998,23,6,11,1,2,70,13,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3.57708625087262,16.3397141951749,-1.54530439986393
"27",29,2.166,311.971338188,25,6,13,2,1,85,40,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,3.79162761565174,17.6627103862346,0.772882148578799
"28",30,1.63,220.980780676,18,5,9,1,1,51,36,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,3.25290254914646,14.8654223174453,0.488580014818671
"29",31,0.0136297652999999,252.970609916,20,5,11,1,2,62,16,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3.44919308580095,15.9050498243797,-4.295499252791
"30",32,4.709,297.955688124,22,5,13,2,1,61,40,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,3.43240835550549,17.2613929948889,1.54947557126142
"31",33,0.0602625377,295.976423568,24,6,12,2,1,215,40,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,5.00877517138652,17.2039653443036,-2.80904463365424
"32",34,0.0116045075,266.98625998,23,6,11,1,2,352,40,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,5.80714672319679,16.3397141951749,-4.45636167876033
"33",37,0.0004085036559999,262.99134536,23,7,10,1,1,90,40,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,3.85720528222682,16.2170079040494,-7.80300969388811
"34",38,0.0064907113899999,278.98625998,24,7,11,1,1,67,27,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,3.5303880208227,16.7028817866858,-5.03738314102209
"35",39,0.292795184,232.980780676,19,6,9,1,0,28,28,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,2.71736144646663,15.2637079596014,-1.22828194511768
"36",41,0.01714295,262.99134536,23,7,10,1,1,127,21,0,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0,4.27701837699461,16.2170079040494,-4.06616826860341
"37",43,0.00350700388,220.980780676,18,5,9,1,1,79,40,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,3.70926726990516,14.8654223174453,-5.652993201466
"38",44,0.0023928527,248.975695296,20,6,10,1,1,66,28,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,3.51449703015775,15.7789636952494,-6.03526902648452
"39",45,0.117113188,232.980780676,19,6,9,1,0,27,27,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,2.68787537952229,15.2637079596014,-2.14461439302895
"40",46,0.0087377649199999,307.976423568,25,7,12,2,0,93,40,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0,3.89533564124828,17.5492570659843,-4.74010085199631
"41",47,0.0277100404999999,234.99643074,21,6,9,1,1,161,40,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,4.59248517262422,15.3295932998889,-3.5859604585421
"42",49,0.0482605881999999,175.01168688,17,5,6,1,1,29,22,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2.74611929336248,13.2291982704924,-3.03114003071199
"43",52,0.000716721854,278.98625998,24,7,11,1,1,208,28,0,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,4.95928424019019,16.7028817866858,-7.24082272289406
"44",53,0.0149427848999999,191.0066015,18,5,7,1,1,61,40,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,3.43240835550549,13.8205137929094,-4.20352671102635
"45",54,0.0195454654999999,250.99134536,22,6,10,1,1,156,40,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,4.54922460599199,15.8427063773839,-3.93501196318789
"46",55,0.00299518346,234.99643074,21,6,9,1,1,101,40,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,3.99297335468528,15.3295932998889,-5.81074979386505
"47",56,0.0009039427699999,262.99134536,23,7,10,1,1,121,40,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,4.2153691330919,16.2170079040494,-7.00874450709834
"48",57,0.00432009974,250.99134536,22,6,10,1,1,69,35,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3.56167860281532,15.8427063773839,-5.44447678902968
"49",58,2.293,295.976423568,24,6,12,2,0,26,26,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2.65761462090515,17.2039653443036,0.829861003875767
"50",59,0.729061395,219.00151612,20,6,8,1,0,22,22,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,2.5277074255111,14.7986998118078,-0.315997332412629
"51",60,0.0918391928,246.99643074,22,7,9,1,0,18,18,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,2.38002627459644,15.7161200918038,-2.38771613564811
"52",61,0.329201031,175.01168688,17,5,6,1,1,18,9,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2.38002627459644,13.2291982704924,-1.11108667834938
"53",63,21.911,291.981508948,24,7,11,2,0,29,29,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,2.74611929336248,17.0874664285844,3.08698879382554
"54",65,4.82994547e-05,262.99134536,23,7,10,1,2,109,36,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,4.08533758346558,16.2170079040494,-9.93809028722455
"55",66,0.000528624924,295.976423568,24,6,12,2,2,62,21,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0,3.44919308580095,17.2039653443036,-7.54523140594084
"56",68,1.322,204.985866056,17,5,8,1,2,39,5,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,3.00136892774457,14.3173274760341,0.279145741429495
"57",69,0.0004492230059999,222.99643074,20,5,9,1,3,253,20,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,5.25939944679531,14.9330650149258,-7.70799112091747
"58",70,5.672,220.980780676,18,5,9,1,2,29,5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2.74611929336248,14.8654223174453,1.73554178922983
"59",71,2.457,220.980780676,18,5,9,1,1,68,28,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,3.54611384225967,14.8654223174453,0.898941093539042
"60",72,0.482333077,248.975695296,20,6,10,1,1,71,22,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,3.59234058326496,15.7789636952494,-0.729120372463272
"61",73,0.250520462,267.981508948,22,5,11,2,2,90,21,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,3.85720528222682,16.3701407736158,-1.38421467716249
"62",74,0.000268718188,238.99134536,21,5,10,1,3,205,19,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,4.93771658085173,15.4593449201446,-8.22184735576127
"63",75,364.688,175.01168688,17,5,6,1,1,15,11,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2.25334338084266,13.2291982704924,5.89904219351678
"64",76,0.0831862197,191.0066015,18,5,7,1,2,28,6,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2.71736144646663,13.8205137929094,-2.48667357347868
"65",77,23.328,207.00151612,19,5,8,1,2,22,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2.5277074255111,14.3875472586539,3.14965435582625
"66",78,6.922,234.99643074,21,6,9,1,1,52,30,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,3.27190739335115,15.3295932998889,1.93470474521315
"67",79,0.571298774,232.980780676,19,6,9,1,1,16,9,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,2.29739670999407,15.2637079596014,-0.559842959236869
"68",80,0.0123781098999999,234.99643074,21,6,9,1,2,60,32,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,3.41542989237976,15.3295932998889,-4.39182569704871
"69",81,9.46201774e-06,281.001910044,26,7,11,1,3,315,22,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,5.6168543985602,16.7631115859795,-11.5682249058892
"70",82,2.70966958e-05,293.997159012,26,7,11,2,2,175,3,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,4.70881268401739,17.1463453543897,-10.5160987637115
"71",83,7.85071164e-05,265.006995424,25,7,10,1,3,294,6,0,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0,5.50179240079774,16.2790354574219,-9.45232128250774
"72",85,272.67,160.996036816,14,4,6,1,1,10,7,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.99526231496888,12.6884213681608,5.60826227279879
"73",87,0.111769012,192.985866056,16,4,8,1,2,24,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2.59455793396046,13.8919352883607,-2.19132093020497
"74",88,0.547502669,220.980780676,18,5,9,1,2,53,15,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,3.29065809636919,14.8654223174453,-0.602387942417519
"75",89,0.075640459,267.981508948,22,5,11,2,1,142,39,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,4.42269003991887,16.3701407736158,-2.58176396699242
"76",92,54.23,148.996036816,13,3,6,1,1,8,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1.86606598307361,12.2063932763122,3.99323426085297
"77",93,0.00375573317,222.99643074,20,5,9,1,2,274,40,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,5.3867295159213,14.9330650149258,-5.58447176116072
"78",94,0.00205143118,250.99134536,22,6,10,1,2,316,40,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,5.62219785061004,15.8427063773839,-6.18921759283044
"79",96,0.0540665428,267.981508948,22,5,11,2,1,160,40,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,4.58390907798466,16.3701407736158,-2.91753971697033
"80",97,0.0209010993999999,295.976423568,24,6,12,2,1,205,40,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,4.93771658085173,17.2039653443036,-3.86795351852405
"81",98,0.0241175049,222.99643074,20,5,9,1,2,224,40,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,5.07077575896709,14.9330650149258,-3.72481735774762
"82",99,0.0108551539999999,238.99134536,21,5,10,1,2,319,40,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,5.6381575174536,15.4593449201446,-4.52311528874193
"83",100,0.00319984376,266.98625998,23,6,11,1,2,342,40,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,5.7571538027568,16.3397141951749,-5.74465329536844
"84",101,3.153,191.0066015,18,5,7,1,1,34,20,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2.88033946612744,13.8205137929094,1.14835438056292
"85",102,0.0194512648,222.99643074,20,5,9,1,2,57,13,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,3.36327560104494,14.9330650149258,-3.93984318275429
"86",103,7.262,267.981508948,22,5,11,2,1,57,34,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3.36327560104494,16.3701407736158,1.98265527299214
"87",106,0.0351593757,297.992073632,26,6,12,2,2,262,40,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,5.31484235590036,17.2624469190205,-3.3478639622955
"88",107,0.0224792685999999,249.012080804,24,7,9,1,2,248,40,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,5.22799910124163,15.7801166283396,-3.79516179007313
"89",108,0.327263687,207.00151612,19,5,8,1,1,51,37,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3.25290254914646,14.3875472586539,-1.11698905077339
"90",110,0.000705642018,266.98625998,23,6,11,1,2,116,40,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,4.16233850656334,16.3397141951749,-7.25640250572495
"91",111,0.323645443,311.971338188,25,6,13,2,1,81,40,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,3.73719281884655,17.6627103862346,-1.12810667411446
"92",112,0.761069449,222.99643074,20,5,9,1,1,98,40,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,3.95701614933298,14.9330650149258,-0.27303066510044
"93",113,0.109334218,250.99134536,22,6,10,1,1,101,29,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,3.99297335468528,15.8427063773839,-2.21334586783542
"94",114,0.00443217315,250.99134536,22,6,10,1,2,138,40,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,4.3849407139862,15.8427063773839,-5.4188652621595
"95",115,7.838,176.990951436,15,4,7,1,1,26,18,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2.65761462090515,13.3037946254443,2.05898369977744
"96",116,0.0896672426,192.985866056,16,4,8,1,2,70,20,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,3.57708625087262,13.8919352883607,-2.41164976502071
"97",117,0.114350233,208.980780676,17,4,9,1,2,69,32,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,3.56167860281532,14.4561675652989,-2.16848932091158
"98",118,0.000477210686,265.006995424,25,7,10,1,3,335,17,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,5.72154663483141,16.2790354574219,-7.64755247486466
"99",119,0.000788953475,281.001910044,26,7,11,1,3,312,13,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,5.60075245871827,16.7631115859795,-7.14480320590392
"100",120,0.07710723,325.986988252,28,7,13,2,2,334,40,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,5.71641749945637,18.0551097546373,-2.56255822849032
"101",121,0.120590249,222.99643074,20,5,9,1,2,205,40,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,4.93771658085173,14.9330650149258,-2.11535685202094
"102",122,2.335,223.991679708,19,4,9,2,1,61,40,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3.43240835550549,14.9663515830679,0.848011891120861
"103",123,2.682,192.985866056,16,4,8,1,1,64,40,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3.4822022531845,13.8919352883607,0.986562784859487
"104",124,1.827,220.980780676,18,5,9,1,1,67,40,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,3.5303880208227,14.8654223174453,0.60267527739587
"105",125,0.00446167659,252.970609916,20,5,11,1,2,120,40,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,4.20488743117457,15.9050498243797,-5.41223066654891
"106",126,2.28,297.955688124,22,5,13,2,1,72,40,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,3.60744525313585,17.2613929948889,0.824175442966349
"107",127,0.0608543059,295.976423568,24,6,12,2,1,179,40,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,4.74084666826223,17.2039653443036,-2.79927269952134
"108",128,0.00115398648,266.98625998,23,6,11,1,2,380,40,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,5.94203326801842,16.3397141951749,-6.76453282673609
"109",129,0.291725741,267.981508948,22,5,11,2,1,132,40,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,4.32685338439601,16.3701407736158,-1.23194116122978
"110",130,0.0407882791,238.99134536,21,5,10,1,2,213,40,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,4.99475144305794,15.4593449201446,-3.19936051580474
"111",131,2.93,208.980780676,17,4,9,1,1,66,40,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,3.51449703015775,14.4561675652989,1.07500242302898
"112",133,0.00382743366,246.99643074,22,7,9,1,1,63,40,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,3.46578936587948,15.7161200918038,-5.56556076304509
"113",134,0.840814619,246.99643074,22,7,9,1,1,68,40,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,3.54611384225967,15.7161200918038,-0.173384072558179
"114",135,5.57333316e-05,249.012080804,24,7,9,1,2,162,40,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,4.60102406051567,15.7801166283396,-9.79493217708226
"115",136,10.356,291.981508948,24,7,11,2,0,29,29,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,2.74611929336248,17.0874664285844,2.33756606188929
"116",137,0.00103664125,293.997159012,26,7,11,2,1,125,40,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,4.25669961260392,17.1463453543897,-6.87176935944455
"117",138,0.0699490332999999,262.99134536,23,7,10,1,1,103,40,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,4.01653140849876,16.2170079040494,-2.65998839783748
"118",139,0.000178080526,265.006995424,25,7,10,1,2,255,40,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,5.27183797467291,16.2790354574219,-8.63327471671274
"119",140,0.669856833,219.00151612,20,6,8,1,1,30,21,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2.77419111467218,14.7986998118078,-0.400691271519948
"120",141,7.91,231.00151612,21,7,8,1,0,10,10,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1.99526231496888,15.198734030175,2.06812778177956
"121",142,0.0942418466,246.99643074,22,7,9,1,1,15,5,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,2.25334338084266,15.7161200918038,-2.36189096461888
"122",143,0.0193643518,262.99134536,23,7,10,1,1,29,17,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,2.74611929336248,16.2170079040494,-3.94432143933578
"123",144,2.744,307.976423568,25,7,12,2,0,16,16,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,2.29739670999407,17.5492570659843,1.00941670986364
"124",145,0.00637090654,249.012080804,24,7,9,1,2,64,19,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,3.4822022531845,15.7801166283396,-5.056013505552
"125",146,0.0159680338,233.017166184,23,7,8,1,1,36,35,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,2.93015605158352,15.2648998091701,-4.1371664426818
"126",147,0.308885451,262.99134536,23,7,10,1,1,15,8,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,2.25334338084266,16.2170079040494,-1.17478477955173
"127",149,0.00166801644,309.992073632,27,7,12,2,2,50,2,0,0,2,1,1,0,0,0,1,1,0,0,1,0,0,0,3.23363503288679,17.6065917664947,-6.39612011897905
"128",150,22.488,281.001910044,26,7,11,1,3,151,3,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,4.50498225026368,16.7631115859795,3.11298183360423
"129",153,0.0249530833,219.00151612,20,6,8,1,1,47,30,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,3.17416396802466,14.7986998118078,-3.69075788526157
"130",154,8.742,216.985866056,18,6,8,1,0,10,10,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1.99526231496888,14.7304401175253,2.16813899644112
"131",155,0.124380873,232.980780676,19,6,9,1,1,17,7,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,2.33956263368145,15.2637079596014,-2.08440686451771
"132",156,0.020328394,248.975695296,20,6,10,1,1,16,7,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,2.29739670999407,15.7789636952494,-3.89573665101909
"133",157,13.936,293.960773504,22,6,12,2,0,11,11,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,2.05313641365884,17.1452842934726,2.63447542011015
"134",158,3.653,291.981508948,24,7,11,2,0,38,38,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,2.97807121571937,17.0874664285844,1.29554874781315
"135",160,0.000520053679,250.99134536,22,6,10,1,2,115,40,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,4.15154119881457,15.8427063773839,-7.56157852287038
"136",161,0.021110539,219.00151612,20,6,8,1,1,34,32,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,2.88033946612744,14.7986998118078,-3.85798288452508
"137",164,0.0207743114,327.966252808,26,6,14,2,2,133,40,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,4.33666117909647,18.1098385638304,-3.87403808439765
"138",165,0.410284833,160.996036816,14,4,6,1,1,12,8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2.10743589934447,12.6884213681608,-0.890903645852144
"139",166,0.13005512,176.990951436,15,4,7,1,1,13,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2.15865384442158,13.3037946254443,-2.03979691838915
"140",167,0.178826178,216.985866056,18,6,8,1,1,40,20,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,3.02425214533222,14.7304401175253,-1.72134101756356
"141",169,0.0013733853999999,233.017166184,23,7,8,1,2,127,10,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,4.27701837699461,15.2648998091701,-6.59047649238619
"142",170,0.0008724709019999,249.012080804,24,7,9,1,2,142,12,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,4.42269003991887,15.7801166283396,-7.0441812545872
"143",171,0.403071988,293.997159012,26,7,11,2,1,112,40,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,4.11874976160613,17.1463453543897,-0.908640102714989
"144",172,0.102744569,234.99643074,21,6,9,1,3,132,3,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,4.32685338439601,15.3295932998889,-2.27550928345043
"145",173,4.34072564e-08,250.99134536,22,6,10,1,3,144,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,4.44128606984584,15.8427063773839,-16.9526392116594
"146",174,4.413,295.976423568,24,6,12,2,2,146,9,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,4.45970217328763,17.2039653443036,1.48455473028741
"147",175,0.0610175251,191.0066015,18,5,7,1,1,46,25,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,3.1537506243593,13.8205137929094,-2.79659415934931
"148",176,4.509,204.985866056,17,5,8,1,0,8,8,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1.86606598307361,14.3173274760341,1.50607539943895
"149",177,0.689735251,232.980780676,19,6,9,1,0,13,13,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,2.15865384442158,15.2637079596014,-0.371447449223186
"150",178,0.00948650982,248.975695296,20,6,10,1,1,40,20,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,3.02425214533222,15.7789636952494,-4.6578845085054
"151",181,0.0682922716,250.99134536,22,6,10,1,1,58,40,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,3.38086942640191,15.8427063773839,-2.68395867254129
"152",182,0.0008226600339999,234.99643074,21,6,9,1,1,170,40,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,4.66804115649394,15.3295932998889,-7.10296752403843
"153",183,0.0453666601,175.01168688,17,5,6,1,1,22,13,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2.5277074255111,13.2291982704924,-3.09297780273935
"154",184,0.0296161284,291.981508948,24,7,11,2,0,37,37,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,2.95434028992534,17.0874664285844,-3.51943618766607
