Id,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C.C..non.aromatic.,C.C.C.O.in.non.aromatic.ring,hydroxyl..alkyl.,aldehyde,ketone,carboxylic.acid,ester,ether..alicyclic.,nitrate,nitro,aromatic.hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester,pSat_Pa
32,297.955688124,22,5,13,2,1,61,40,toluene,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,4.709
33,295.976423568,24,6,12,2,1,215,40,toluene,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,0.0602625377
34,266.98625998,23,6,11,1,2,352,40,toluene,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0.0116045075
37,262.99134536,23,7,10,1,1,90,40,toluene,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0.0004085036559999
38,278.98625998,24,7,11,1,1,67,27,toluene,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0.0064907113899999
39,232.980780676,19,6,9,1,0,28,28,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0.292795184
41,262.99134536,23,7,10,1,1,127,21,toluene,0,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0.01714295
43,220.980780676,18,5,9,1,1,79,40,toluene,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0.00350700388
44,248.975695296,20,6,10,1,1,66,28,toluene,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0.0023928527
45,232.980780676,19,6,9,1,0,27,27,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0.117113188
46,307.976423568,25,7,12,2,0,93,40,toluene,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0,0.0087377649199999
47,234.99643074,21,6,9,1,1,161,40,toluene,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0.0277100404999999
49,175.01168688,17,5,6,1,1,29,22,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0482605881999999
52,278.98625998,24,7,11,1,1,208,28,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0.000716721854
53,191.0066015,18,5,7,1,1,61,40,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0.0149427848999999
54,250.99134536,22,6,10,1,1,156,40,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0.0195454654999999
55,234.99643074,21,6,9,1,1,101,40,toluene,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0.00299518346
56,262.99134536,23,7,10,1,1,121,40,toluene,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0.0009039427699999
57,250.99134536,22,6,10,1,1,69,35,toluene,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0.00432009974
58,295.976423568,24,6,12,2,0,26,26,toluene,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2.293
59,219.00151612,20,6,8,1,0,22,22,toluene,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0.729061395
60,246.99643074,22,7,9,1,0,18,18,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0.0918391928
61,175.01168688,17,5,6,1,1,18,9,toluene,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.329201031
63,291.981508948,24,7,11,2,0,29,29,toluene,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,21.911
65,262.99134536,23,7,10,1,2,109,36,toluene,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,4.82994547e-05
66,295.976423568,24,6,12,2,2,62,21,toluene,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0,0.000528624924
68,204.985866056,17,5,8,1,2,39,5,toluene,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.322
69,222.99643074,20,5,9,1,3,253,20,toluene,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0004492230059999
70,220.980780676,18,5,9,1,2,29,5,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,5.672
71,220.980780676,18,5,9,1,1,68,28,toluene,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,2.457
72,248.975695296,20,6,10,1,1,71,22,toluene,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0.482333077
73,267.981508948,22,5,11,2,2,90,21,toluene,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0.250520462
74,238.99134536,21,5,10,1,3,205,19,toluene,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0.000268718188
75,175.01168688,17,5,6,1,1,15,11,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,364.688
76,191.0066015,18,5,7,1,2,28,6,toluene,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0831862197
77,207.00151612,19,5,8,1,2,22,6,toluene,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,23.328
78,234.99643074,21,6,9,1,1,52,30,toluene,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,6.922
79,232.980780676,19,6,9,1,1,16,9,toluene,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0.571298774
80,234.99643074,21,6,9,1,2,60,32,toluene,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0.0123781098999999
81,281.001910044,26,7,11,1,3,315,22,toluene,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,9.46201774e-06
82,293.997159012,26,7,11,2,2,175,3,toluene,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,2.70966958e-05
83,265.006995424,25,7,10,1,3,294,6,toluene,0,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0,7.85071164e-05
85,160.996036816,14,4,6,1,1,10,7,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,272.67
87,192.985866056,16,4,8,1,2,24,8,toluene,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.111769012
88,220.980780676,18,5,9,1,2,53,15,toluene,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0.547502669
89,267.981508948,22,5,11,2,1,142,39,toluene,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0.075640459
92,148.996036816,13,3,6,1,1,8,7,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,54.23
93,222.99643074,20,5,9,1,2,274,40,toluene,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0.00375573317
94,250.99134536,22,6,10,1,2,316,40,toluene,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0.00205143118
96,267.981508948,22,5,11,2,1,160,40,toluene,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0.0540665428
97,295.976423568,24,6,12,2,1,205,40,toluene,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0.0209010993999999
98,222.99643074,20,5,9,1,2,224,40,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0.0241175049
99,238.99134536,21,5,10,1,2,319,40,toluene,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0.0108551539999999
100,266.98625998,23,6,11,1,2,342,40,toluene,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0.00319984376
101,191.0066015,18,5,7,1,1,34,20,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,3.153
102,222.99643074,20,5,9,1,2,57,13,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.0194512648
103,267.981508948,22,5,11,2,1,57,34,toluene,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,7.262
106,297.992073632,26,6,12,2,2,262,40,toluene,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0.0351593757
107,249.012080804,24,7,9,1,2,248,40,toluene,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0.0224792685999999
108,207.00151612,19,5,8,1,1,51,37,toluene,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.327263687
110,266.98625998,23,6,11,1,2,116,40,toluene,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0.000705642018
111,311.971338188,25,6,13,2,1,81,40,toluene,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0.323645443
112,222.99643074,20,5,9,1,1,98,40,toluene,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0.761069449
113,250.99134536,22,6,10,1,1,101,29,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0.109334218
114,250.99134536,22,6,10,1,2,138,40,toluene,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0.00443217315
115,176.990951436,15,4,7,1,1,26,18,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,7.838
116,192.985866056,16,4,8,1,2,70,20,toluene,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0896672426
117,208.980780676,17,4,9,1,2,69,32,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.114350233
118,265.006995424,25,7,10,1,3,335,17,toluene,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0.000477210686
119,281.001910044,26,7,11,1,3,312,13,toluene,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0.000788953475
120,325.986988252,28,7,13,2,2,334,40,toluene,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0.07710723
121,222.99643074,20,5,9,1,2,205,40,toluene,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0.120590249
122,223.991679708,19,4,9,2,1,61,40,toluene,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2.335
123,192.985866056,16,4,8,1,1,64,40,toluene,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2.682
124,220.980780676,18,5,9,1,1,67,40,toluene,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1.827
125,252.970609916,20,5,11,1,2,120,40,toluene,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0.00446167659
126,297.955688124,22,5,13,2,1,72,40,toluene,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,2.28
127,295.976423568,24,6,12,2,1,179,40,toluene,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0.0608543059
128,266.98625998,23,6,11,1,2,380,40,toluene,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,0.00115398648
129,267.981508948,22,5,11,2,1,132,40,toluene,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0.291725741
130,238.99134536,21,5,10,1,2,213,40,toluene,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0.0407882791
131,208.980780676,17,4,9,1,1,66,40,toluene,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,2.93
133,246.99643074,22,7,9,1,1,63,40,toluene,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0.00382743366
134,246.99643074,22,7,9,1,1,68,40,toluene,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0.840814619
135,249.012080804,24,7,9,1,2,162,40,toluene,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,5.57333316e-05
136,291.981508948,24,7,11,2,0,29,29,toluene,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,10.356
137,293.997159012,26,7,11,2,1,125,40,toluene,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0.00103664125
138,262.99134536,23,7,10,1,1,103,40,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0.0699490332999999
139,265.006995424,25,7,10,1,2,255,40,toluene,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0.000178080526
140,219.00151612,20,6,8,1,1,30,21,toluene,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0.669856833
141,231.00151612,21,7,8,1,0,10,10,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,7.91
142,246.99643074,22,7,9,1,1,15,5,toluene,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0.0942418466
143,262.99134536,23,7,10,1,1,29,17,toluene,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0.0193643518
144,307.976423568,25,7,12,2,0,16,16,toluene,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,2.744
145,249.012080804,24,7,9,1,2,64,19,toluene,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0.00637090654
146,233.017166184,23,7,8,1,1,36,35,toluene,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0.0159680338
147,262.99134536,23,7,10,1,1,15,8,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0.308885451
149,309.992073632,27,7,12,2,2,50,2,toluene,0,0,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0.00166801644
150,281.001910044,26,7,11,1,3,151,3,toluene,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,22.488
153,219.00151612,20,6,8,1,1,47,30,toluene,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0.0249530833
154,216.985866056,18,6,8,1,0,10,10,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,8.742
155,232.980780676,19,6,9,1,1,17,7,toluene,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0.124380873
156,248.975695296,20,6,10,1,1,16,7,toluene,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0.020328394
157,293.960773504,22,6,12,2,0,11,11,toluene,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,13.936
158,291.981508948,24,7,11,2,0,38,38,toluene,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,3.653
160,250.99134536,22,6,10,1,2,115,40,toluene,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0.000520053679
161,219.00151612,20,6,8,1,1,34,32,toluene,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0.021110539
164,327.966252808,26,6,14,2,2,133,40,toluene,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0.0207743114
165,160.996036816,14,4,6,1,1,12,8,toluene,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.410284833
166,176.990951436,15,4,7,1,1,13,8,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.13005512
167,216.985866056,18,6,8,1,1,40,20,toluene,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0.178826178
169,233.017166184,23,7,8,1,2,127,10,toluene,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0.0013733853999999
170,249.012080804,24,7,9,1,2,142,12,toluene,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0.0008724709019999
171,293.997159012,26,7,11,2,1,112,40,toluene,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0.403071988
172,234.99643074,21,6,9,1,3,132,3,toluene,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0.102744569
173,250.99134536,22,6,10,1,3,144,1,toluene,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,4.34072564e-08
174,295.976423568,24,6,12,2,2,146,9,toluene,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,4.413
175,191.0066015,18,5,7,1,1,46,25,toluene,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0.0610175251
176,204.985866056,17,5,8,1,0,8,8,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,4.509
177,232.980780676,19,6,9,1,0,13,13,toluene,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0.689735251
178,248.975695296,20,6,10,1,1,40,20,toluene,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0.00948650982
181,250.99134536,22,6,10,1,1,58,40,toluene,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0.0682922716
182,234.99643074,21,6,9,1,1,170,40,toluene,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0.0008226600339999
183,175.01168688,17,5,6,1,1,22,13,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0453666601
184,291.981508948,24,7,11,2,0,37,37,toluene,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0.0296161284
185,262.99134536,23,7,10,1,1,92,40,toluene,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0.0001415065919999
186,309.992073632,27,7,12,2,2,207,40,toluene,0,0,2,0,2,0,0,0,1,1,0,0,1,0,0,0,9.34815665e-05
187,281.001910044,26,7,11,1,3,388,40,toluene,0,0,2,0,2,0,0,0,0,1,0,0,1,1,0,0,9.25823063e-06
188,325.986988252,28,7,13,2,2,346,40,toluene,0,0,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0.000586772266
189,146.980386752,11,3,6,1,0,3,3,toluene,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,503.853
191,160.996036816,14,4,6,1,0,4,4,toluene,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,49.626
192,206.965130612,15,4,9,1,1,8,6,toluene,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.678535389
193,216.985866056,18,6,8,1,0,4,4,toluene,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,36.551
196,231.00151612,21,7,8,1,0,15,15,toluene,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0.883010839
197,246.99643074,22,7,9,1,1,44,24,toluene,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0.0635465604
198,204.985866056,17,5,8,1,1,16,10,toluene,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2.628
199,276.970609916,22,7,11,1,2,82,1,toluene,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0.000143699601
203,307.976423568,25,7,12,2,1,98,24,toluene,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0.0629735159
204,278.98625998,24,7,11,1,2,226,10,toluene,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0.424277586
205,246.99643074,22,7,9,1,1,31,11,toluene,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0.861474165
210,248.975695296,20,6,10,1,2,53,15,toluene,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0.00973793042
212,307.976423568,25,7,12,2,1,107,40,toluene,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,1,0.347787964
214,291.981508948,24,7,11,2,0,21,21,toluene,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0.640657338
217,291.981508948,24,7,11,2,0,24,24,toluene,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0.282636771
220,278.98625998,24,7,11,1,2,146,35,toluene,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0.00170533476
230,291.981508948,24,7,11,2,2,65,34,toluene,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1.6779646e-05
231,231.00151612,21,7,8,1,1,26,22,toluene,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.00207111211
232,246.99643074,22,7,9,1,2,53,38,toluene,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0001487815939999
238,262.99134536,23,7,10,1,2,146,40,toluene,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,3.91060755e-05
239,291.981508948,24,7,11,2,1,65,40,toluene,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.00227567758
241,307.976423568,25,7,12,2,1,76,40,toluene,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0.00100551223
243,262.99134536,23,7,10,1,2,130,40,toluene,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0.0004326443019999
245,234.99643074,21,6,9,1,1,79,40,toluene,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0.0157075307
247,231.00151612,21,7,8,1,1,13,13,toluene,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0502856045
252,246.99643074,22,7,9,1,1,34,26,toluene,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0.0185286977
256,310.97608922,26,7,13,1,4,331,9,toluene,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,1,8.65709569e-05
260,278.98625998,24,7,11,1,2,238,21,toluene,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0.000372669461
262,234.99643074,21,6,9,1,2,84,20,toluene,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0.0568170739999999
265,278.98625998,24,7,11,1,3,301,23,toluene,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,1,0.0003932124359999
271,307.976423568,25,7,12,2,1,162,38,toluene,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0.27865536
276,294.9811746,25,7,12,1,3,462,20,toluene,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,6.43778133e-05
280,219.00151612,20,6,8,1,1,20,12,toluene,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1.481
288,249.012080804,24,7,9,1,2,88,19,toluene,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0.00027186185
289,265.006995424,25,7,10,1,3,151,13,toluene,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0.000277474466
292,293.997159012,26,7,11,2,1,63,40,toluene,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0.008477035
297,281.001910044,26,7,11,1,3,319,40,toluene,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,7.95952618e-05
298,296.996824664,27,7,12,1,3,324,33,toluene,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0.0094095284799999
300,295.976423568,24,6,12,2,3,164,19,toluene,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,2,0.000588519707
303,232.980780676,19,6,9,1,1,39,16,toluene,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,2.468
307,278.98625998,24,7,11,1,2,232,40,toluene,0,0,1,0,2,0,1,0,0,1,0,0,0,1,0,1,0.000514344773
310,325.986988252,28,7,13,2,3,437,40,toluene,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,1,3.11479401e-05
314,281.001910044,26,7,11,1,3,456,18,toluene,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0.000297614496
316,265.006995424,25,7,10,1,3,149,18,toluene,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0.000484967673
319,295.976423568,24,6,12,2,3,161,7,toluene,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,2,0.000202436969
325,281.001910044,26,7,11,1,3,323,20,toluene,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,1,1.01068284e-06
327,309.992073632,27,7,12,2,2,194,40,toluene,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0.000678363217
330,293.997159012,26,7,11,2,1,115,40,toluene,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0.00508062075
332,325.986988252,28,7,13,2,2,212,40,toluene,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,9.18314221e-05
337,281.001910044,26,7,11,1,3,267,31,toluene,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,1,4.39256315e-06
342,281.001910044,26,7,11,1,3,369,40,toluene,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0.000164389934
348,327.966252808,26,6,14,2,2,197,40,toluene,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0.0120548016
